Symbol,Company Name,Listing Date,ipo_raised_fund,ipo_price,1d_price_movement_after_listed,7d_price_movement_after_listed,30d_price_movement_after_listed,180d_price_movement_after_listed,365d_price_movement_after_listed,underwriter
RAAM,PT Tripar Multivision Plus Tbk,08-May-23,217433000,234,25,201,225,105,,UOB KAY HIAN SEKURITAS (AI); SUCOR SEKURITAS (AZ)
TYRE,PT King Tire Indonesia Tbk,08-May-23,96600000,138,35,2,-11,-12,,VICTORIA SEKURITAS INDONESIA (MI)
DOOH,PT Era Media Sejahtera Tbk,08-May-23,154750000,100,5,-1,-48,60,,INDO CAPITAL SEKURITAS; KGI SEKURITAS INDONESIA (HD)
MPXL,PT MPX Logistics International Tbk,09-May-23,43200000,108,34,14,15,59,,PANIN SEKURITAS TBK. (GR)
SMIL,PT Sarana Mitra Luas Tbk,12-May-23,175000000,100,35,48,43,26,,MNC SEKURITAS (EP); KB VALBURY SEKURITAS (CP); ERDIKHA ELIT SEKURITAS (AO)
KLAS,PT Pelayaran Kurnia Lautan Semesta Tbk,12-Jun-23,78840000,146,35,-9,-29,-39,,PANIN SEKURITAS TBK. (GR)
MAXI,PT Maxindo Karya Anugerah Tbk,12-Jun-23,100000000,100,-15,-42,-39,-50,,SHINHAN SEKURITAS INDONESIA (AH)
VKTR,PT VKTR Teknologi Mobilitas Tbk,19-Jun-23,875000000,100,11,15,30,15,,SAMUEL SEKURITAS INDONESIA (IF); CIPTADANA SEKURITAS ASIA (KI); TRIMEGAH SEKURITAS INDONESIA TBK. (LG)
RELF,PT Graha Mitra Asia Tbk,22-Jun-23,108000000,90,10,57,53,-71,,UOB KAY HIAN SEKURITAS (AI)
AMMN,PT Amman Mineral Internasional Tbk,07-Jul-23,10726314000,1695,4,4,69,282,,BNI SEKURITAS; MANDIRI SEKURITAS
TGUK,PT Platinum Wahab Nusantara Tbk,10-Jul-23,117857000,110,35,26,-10,-15,,SEMESTA INDOVEST SEKURITAS
WIDI,PT Widiant Jaya Krenindo Tbk,10-Jul-23,40000000,100,10,8,40,-56,,ARTHA SEKURITAS INDONESIA
CRSN,PT Carsurin Tbk,10-Jul-23,75000000,125,14,-10,-7,-2,,NH KORINDO SEKURITAS INDONESIA
GRPM,PT Graha Prima Mentari Tbk,10-Jul-23,37080000,120,-10,-30,-38,-60,,NH KORINDO SEKURITAS INDONESIA
INET,PT Sinergi Inti Andalan Prima Tbk,24-Jul-23,151500000,101,35,100,84,-31,,SHINHAN SEKURITAS INDONESIA
MAHA,PT Mandiri Herindo Adiperkasa Tbk,25-Jul-23,491588000,118,35,132,114,,,TRIMEGAH SEKURITAS INDONESIA TBK
RMKO,PT Royaltama Mulia Kontraktorindo Tbk,31-Jul-23,112500000,450,24,21,-17,,,VICTORIA SEKURITAS INDONESIA
CNMA,PT Nusantara Sejahtera Raya Tbk,02-Aug-23,2250450000,270,17,14,1,,,INDO PREMIER SEKURITAS; J.P. MORGAN SEKURITAS INDONESIA; MANDIRI SEKURITAS
FOLK,PT Multi Garam Utama Tbk,07-Aug-23,57000000,100,13,-15,-27,,,KGI SEKURITAS INDONESIA; SAMUEL SEKURITAS INDONESIA
HBAT,PT Minahasa Membangun Hebat Tbk,07-Aug-23,26000000,108,-9,-38,-49,,,LOTUS ANDALAN SEKURITAS
ERAL,PT Sinar Eka Selaras Tbk,08-Aug-23,404625000,390,3,-6,-5,,,MIRAE ASSET SEKURITAS INDONESIA; BNI SEKURITAS
CYBR,PT ITSEC Asia Tbk,08-Aug-23,100873000,100,35,132,66,,,MIRAE ASSET SEKURITAS INDONESIA
PPRI,PT Paperocks Indonesia Tbk,08-Aug-23,38500000,140,-15,-45,-41,,,INDO CAPITAL SEKURITAS
GRIA,PT Ingria Pratama Capitalindo Tbk,08-Aug-23,207000000,120,-2,-2,-5,,,ERDIKHA ELIT SEKURITAS
LMAX,PT Lupromax Pelumas Indonesia Tbk,09-Aug-23,39000000,200,10,46,0,,,SHINHAN SEKURITAS INDONESIA
HUMI,PT Humpuss Maritim Internasional Tbk,09-Aug-23,270700000,100,2,51,89,,,RELIANCE SEKURITAS INDONESIA TBK
MUTU,PT Mutuagung Lestari Tbk,09-Aug-23,101829000,108,34,23,69,,,TRIMEGAH SEKURITAS INDONESIA TBK
MSIE,PT Multisarana Intan Eduka Tbk,10-Aug-23,36000000,100,-10,-40,-58,,,MNC SEKURITAS
RSCH,PT Charlie Hospital Semarang Tbk,28-Aug-23,60950000,115,14,16,5,,,SHINHAN SEKURITAS INDONESIA
BABY,PT Multitrend Indo Tbk,07-Sep-23,142044000,266,9,-2,2,,,UOB KAY HIAN SEKURITAS
AEGS,PT Anugerah Spareparts Sejahtera Tbk,11-Sep-23,40000000,100,-5,-32,-41,,,SHINHAN SEKURITAS INDONESIA
IOTF,PT Sumber Sinergi Makmur Tbk,06-Oct-23,110000000,100,35,5,9,,,SHINHAN SEKURITAS INDONESIA
KOCI,PT Kokoh Exa Nusantara Tbk,06-Oct-23,54000000,120,-30,-43,-58,,,PANCA GLOBAL SEKURITAS
PTPS,PT Pulau Subur Tbk,09-Oct-23,89100000,198,-35,-47,-30,,,NH KORINDO SEKURITAS INDONESIA
